Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
8.331840991973877	0	-0.41354844	0.071945384	-0.2635132	-0.61326927	21.0	0.0	-0.019692782	-0.019692782	-0.014210271090943855	-0.014210271090943855	1008	1008
22.082916975021362	1	-0.40495133	0.08261105	-0.29360464	-0.6581668	21.0	0.0	-0.019283397	-0.019283397	-0.014264577556771138	-0.014264577556771138	1008	2016
43.15448713302612	2	-0.420185	0.07047536	-0.2985252	-0.5430546	21.0	0.0	-0.02000881	-0.02000881	-0.013177589490905226	-0.013177589490905226	1008	3024
76.0070309638977	3	-0.43927178	0.089025944	-0.29684567	-0.651937	21.0	0.0	-0.0209177	-0.0209177	-0.014901645037351374	-0.014901645037351374	1008	4032
119.59379196166992	4	-0.4137512	0.085221	-0.26246333	-0.635745	21.0	0.0	-0.019702438	-0.019702438	-0.012585282941681479	-0.012585282941681479	1008	5040
167.2299931049347	5	-0.4123039	0.09417765	-0.2624259	-0.61169493	21.0	0.0	-0.019633519	-0.019633519	-0.012938812895058039	-0.012938812895058039	1008	6048
223.97226691246033	6	-0.40316176	0.07920874	-0.2289968	-0.5764177	21.0	0.0	-0.01919818	-0.01919818	-0.011463839559623728	-0.011463839559623728	1008	7056
288.5493381023407	7	-0.41011986	0.10317538	-0.16248266	-0.742298	21.0	0.0	-0.019529516	-0.019529516	-0.011806762895250024	-0.011806762895250024	1008	8064
359.68491196632385	8	-0.4219332	0.10764181	-0.22256373	-0.70285344	21.0	0.0	-0.020092055	-0.020092055	-0.01068115483671447	-0.01068115483671447	1008	9072
441.3238151073456	9	-0.4513296	0.0965326	-0.25168803	-0.6978803	21.0	0.0	-0.021491883	-0.021491883	-0.010948734277959138	-0.010948734277959138	1008	10080
535.0165350437164	10	-0.45842233	0.10281988	-0.17893699	-0.67555547	21.0	0.0	-0.021829635	-0.021829635	-0.010160444276810081	-0.010160444276810081	1008	11088
628.7265141010284	11	-0.24476947	1.4268234	9.512181	-0.71605194	21.0	0.0	-0.01165569	-0.01165569	0.00010120585830361264	0.00010120585830361264	1008	12096
735.0824220180511	12	0.12401819	4.255073	29.28732	-0.7084148	21.0	0.0	0.0059056273	0.0059056273	0.019859365279048014	0.019859365279048014	1008	13104
846.7277870178223	13	0.121207595	4.2594833	29.315409	-0.7382431	21.0	0.0	0.005771791	0.005771791	0.019526339049218588	0.019526339049218588	1008	14112
968.4235091209412	14	3.2303092	10.462081	39.239334	-0.7626934	21.0	0.0	0.15382424	0.15382424	0.1683884464719911	0.1683884464719911	1008	15120
1095.6143999099731	15	4.2524714	11.846564	49.351604	-0.74466926	21.0	0.0	0.20249861	0.20249861	0.21880337390617627	0.21880337390617627	1008	16128
1233.217658996582	16	4.232183	11.840265	39.38352	-0.7268936	21.0	0.0	0.20153254	0.20153254	0.21769056939853368	0.21769056939853368	1008	17136
1387.832752943039	17	2.9484758	8.977896	29.453476	-0.84903395	21.0	0.0	0.14040361	0.14040361	0.1569321093063846	0.1569321093063846	1008	18144
1541.3849611282349	18	9.782882	16.865608	59.144737	-0.922041	21.0	0.0	0.4658515	0.4658515	0.48294762621164206	0.48294762621164206	1008	19152
1701.9125061035156	19	10.591366	18.56419	69.29015	-0.91171986	21.0	0.0	0.5043508	0.5043508	0.5213786290510872	0.5213786290510872	1008	20160
1861.629007101059	20	11.007112	20.276205	69.17268	-0.8002138	21.0	0.0	0.52414817	0.52414817	0.5411797250158422	0.5411797250158422	1008	21168
2029.3756830692291	21	12.832405	17.914545	59.158848	-0.8585405	21.0	0.0	0.61106694	0.61106694	0.6286392619771044	0.6286392619771044	1008	22176
2202.9857261180878	22	15.140216	20.30641	68.97281	-1.2459735	21.0	0.0	0.72096264	0.72096264	0.7378856956018537	0.7378856956018537	1008	23184
2388.1944620609283	23	18.029417	23.841814	89.14585	-0.8415795	21.0	0.0	0.85854363	0.85854363	0.8755647675607732	0.8755647675607732	1008	24192
2576.6758880615234	24	30.878708	25.262657	79.08469	-0.8659824	21.0	0.0	1.4704146	1.4704146	1.4877133324336074	1.4877133324336074	1008	25200
2776.7147510051727	25	26.95289	25.064112	78.955086	-1.0069541	21.0	0.0	1.283471	1.283471	1.3001626175965157	1.3001626175965157	1008	26208
2985.550760984421	26	36.680256	25.572659	98.96996	-0.6538538	21.0	0.0	1.746679	1.746679	1.7636761839366486	1.7636761839366486	1008	27216
3213.020570039749	27	38.749363	25.115376	98.83406	-0.59246784	21.0	0.0	1.8452076	1.8452076	1.8619049110096613	1.8619049110096613	1008	28224
3467.354066133499	28	49.311672	24.331408	98.727264	-0.6576317	21.0	0.0	2.3481748	2.3481748	2.365476297750373	2.365476297750373	1008	29232
3735.5256340503693	29	47.614807	29.68674	98.80985	-0.84228784	21.0	0.0	2.2673717	2.2673717	2.2849702395138007	2.2849702395138007	1008	30240
4010.671643972397	30	45.97673	29.76927	108.80521	-0.91445327	21.0	0.0	2.189368	2.189368	2.206142816221391	2.206142816221391	1008	31248
4308.294878005981	31	57.127735	28.325161	108.89143	-0.80722255	21.0	0.0	2.7203681	2.7203681	2.737525006021864	2.737525006021864	1008	32256
4598.469124078751	32	52.975952	27.31901	108.65457	-0.9202699	21.0	0.0	2.5226643	2.5226643	2.539605716355464	2.539605716355464	1008	33264
4914.293968915939	33	57.284027	26.02296	108.535484	-0.75746167	21.0	0.0	2.7278109	2.7278109	2.744785296329166	2.744785296329166	1008	34272
