,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-159.7349078707857,-111.44156980221375,-201.91903574155685,31.906135375709777,,
1,0,-39.93528288012182,-10.193995887670928,-80.38210837136452,19.21841193012306,0.03608660027384758,0.9729843139648438
2,1,-32.84957979281367,2.7872047437941596,-59.01789981501639,17.232608446444097,0.02231179177761078,4.995894432067871
3,2,-30.797131363703492,8.626262308632803,-51.27053961368033,16.043218947287,0.023956332355737686,0.031607963144779205
4,3,-27.36952212531199,9.282169959496912,-43.49650792354214,14.540132970627564,0.007351784501224756,0.01820782944560051
5,4,-21.684012640409943,8.531506481453485,-38.13027431634368,14.952696327724603,0.008418768644332886,0.009706358425319195
6,5,-4.904146751359557,44.56931874198747,-30.642771669465102,21.630429565555094,0.006827064789831638,0.00832559447735548
7,6,-11.843521357821547,45.430597159765384,-41.4081897000339,29.003097797799764,0.006402391009032726,0.008393224328756332
8,7,-3.229731428920471,60.10301133791977,-51.899859022010986,32.05445923861523,0.006272791884839535,0.008633872494101524
9,8,-13.773010054017282,34.33664428132374,-60.895470622317504,26.19341191476744,0.006281218957155943,0.007626250386238098
10,9,3.424127315109147,79.33980756304207,-19.800126982679764,29.493309871257278,0.004865291528403759,0.008167085237801075
11,10,9.567448985554448,43.31787433994043,-19.8051869401767,22.73382889707334,0.007766463793814182,0.0059211598709225655
