Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
19.26558804512024	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-4.669402e-07	-4.669402e-07	-0.69614553	0.0611376	0.0031816233	0.0011389261	0.6964637	30049	30049
36.74168610572815	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.4793229e-05	1.4793229e-05	-0.6951899	0.032029267	0.0012975421	0.00058652577	0.6953196	30049	60098
52.76663899421692	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.9794861e-05	1.9794861e-05	-0.6898295	0.03354164	0.0018764166	0.0010330281	0.6900172	30049	90147
68.63378810882568	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	5.833805e-05	5.833805e-05	-0.6770693	0.079021715	0.05501593	0.060657486	0.6825708	30049	120196
84.14720320701599	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00034784924	0.00034784924	-0.5778255	0.34182855	0.50336283	0.31047145	0.62816167	30049	150245
99.703782081604	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00034558776	0.00034558776	-0.6161346	0.41777948	0.47346	0.37097803	0.6634806	30049	180294
116.50004816055298	6	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00030925122	0.00030925122	-0.5830233	0.31086776	0.48654616	0.42395544	0.631678	30049	210343
131.9214551448822	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00030566263	0.00030566263	-0.6657571	0.45856535	0.4032629	0.36346436	0.7060834	30049	240392
147.22581100463867	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002989206	0.0002989206	-0.58868563	0.35151866	0.4318938	0.47583902	0.631875	30049	270441
163.0995090007782	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00020695623	0.00020695623	-0.62720823	0.3689381	0.5646621	0.4813624	0.68367445	30049	300490
178.6141951084137	10	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0003783552	0.0003783552	-0.6220567	0.35527593	0.49780387	0.39880332	0.67183703	30049	330539
194.681232213974	11	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00051226025	0.00051226025	-0.60081124	0.3674273	0.6138418	0.35277787	0.6621954	30049	360588
211.62275099754333	12	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0005694454	0.0005694454	-0.51441145	0.3917031	0.6598248	0.38851583	0.5803939	30049	390637
228.30177402496338	13	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009443549	0.0009443549	-0.56020373	0.63883644	0.8762539	0.33284062	0.6478292	30049	420686
244.43810105323792	14	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0011047551	0.0011047551	-0.4705562	0.5465292	0.8828727	0.29041943	0.5588435	30049	450735
260.577171087265	15	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0011226395	0.0011226395	-0.4442477	0.61444885	1.0386333	0.39482358	0.548111	30049	480784
276.3680601119995	16	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0019175556	0.0019175556	-0.2813835	0.51114666	1.1544154	0.35121936	0.39682502	30049	510833
292.6258339881897	17	1.442211	3.7837827	22.0	0.0	151.0	0.0	0.009551067	0.009551067	0.012170438	0.012170438	-0.1978989	0.50749266	1.3510194	0.6699025	0.33300084	30049	540882
309.3420820236206	18	11.0753765	8.799803	35.0	0.0	151.0	0.0	0.07334687	0.07334687	0.075548105	0.075548105	-0.17601089	0.4331635	1.1739844	0.7307323	0.29340935	30049	570931
326.3526780605316	19	15.668342	7.2673674	33.0	0.0	151.0	0.0	0.103763856	0.103763856	0.1057338	0.1057338	-0.19320612	0.39618638	1.1424187	0.49210718	0.30744797	30049	600980
342.0175631046295	20	17.994974	7.212843	41.0	0.0	151.0	0.0	0.11917202	0.11917202	0.12078691	0.12078691	-0.28081524	0.48668483	1.1481664	0.804389	0.39563185	30049	631029
357.5125370025635	21	19.59799	7.051797	36.0	0.0	151.0	0.0	0.12978801	0.12978801	0.13111265	0.13111265	-0.3456583	0.6515868	1.05193	0.7313272	0.45085132	30049	661078
372.9877691268921	22	21.86432	6.3290577	36.0	0.0	151.0	0.0	0.14479683	0.14479683	0.1460469	0.1460469	-0.3978595	0.7435843	0.882501	0.27288318	0.4861096	30049	691127
388.47855019569397	23	22.959799	6.529284	38.0	4.0	151.0	0.0	0.15205164	0.15205164	0.15342435	0.15342435	-0.42201012	0.6192532	0.9136102	0.5389998	0.5133711	30049	721176
403.45428919792175	24	25.889448	6.6323285	43.0	2.0	151.0	0.0	0.1714533	0.1714533	0.172459	0.172459	-0.38084888	0.5155008	0.9145883	0.24106555	0.4723077	30049	751225
418.10914421081543	25	31.351759	5.786563	45.0	3.0	151.0	0.0	0.20762753	0.20762753	0.20912685	0.20912685	-0.30992025	0.52989846	1.0684248	0.6271092	0.4167627	30049	781274
432.45086908340454	26	37.100502	5.1801662	49.0	21.0	151.0	0.0	0.24569869	0.24569869	0.24722126	0.24722126	-0.25918323	0.57797486	1.1071739	0.47994134	0.36990064	30049	811323
