,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-163.17747659094618,-113.29534249566407,-216.8741402008842,32.55801458688579,,
1,0,-19.418378607301907,22.320773359903804,-50.219488298809615,18.867465531324083,0.029395177960395813,1.0583324432373047
2,1,77.91203677609204,111.23314233157065,43.855551380362456,21.339132974478016,0.0219271220266819,0.03722605109214783
3,2,157.33594546384992,226.95867903131455,115.9909262022671,38.843617152264855,0.01384012307971716,0.02067560888826847
4,3,159.31821428002476,205.6953040512868,108.71752132324282,25.378393017931813,0.016526151448488235,0.017175307497382164
5,4,250.22740198685628,310.56846733730544,190.11295666974382,30.69351999342178,0.011842022649943829,0.013989090919494629
6,5,253.48050046297976,296.9943987399065,201.6486022322805,33.46495548073068,0.006807824596762657,0.011641474440693855
7,6,272.9520761557443,323.57359797569063,205.9232706278152,35.59274824204451,0.0068937987089157104,0.008930409327149391
8,7,312.75777983792386,367.518346298765,226.74372610726465,40.61331426687931,0.005330238491296768,0.007825230248272419
9,8,355.1087186468977,426.0686156595943,294.3105693016319,34.52238762122936,0.007424197159707546,0.007475440390408039
10,9,318.35367031688816,409.3651637387684,249.78662448394294,46.62718526094305,0.006717583630234003,0.005822896957397461
11,10,343.4950037924094,415.4909943336473,271.67573042933884,44.899004096834716,0.005176142789423466,0.0054958416149020195
