,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-151.90478450174757,-113.93736517544322,-195.3028369586673,25.21449388531954,,
1,0,-10.517139046775487,31.36609255629799,-47.80921178416436,25.29843847271211,0.034888092428445816,1.036247968673706
2,1,-20.58343722257393,-3.9767514514128983,-40.4377875279975,9.460165938064602,0.024016879498958588,19.02387046813965
3,2,-9.643634697356898,43.61369529483626,-46.337854683060144,25.646151705783186,0.012247088365256786,0.032998599112033844
4,3,-13.85445825748935,30.628651528327584,-32.89820952109638,18.712177106940608,0.01007212046533823,0.02033737115561962
5,4,-48.308984961751165,-20.906202027287716,-68.3939143565034,16.610482449993004,0.008922147564589977,0.009056119248270988
6,5,-28.336961998695376,18.011997601402033,-66.21495390568376,27.418950569958657,0.008629696443676949,0.008119541220366955
7,6,1.879790974136585,80.89844305365939,-40.38342983597587,35.12575867470391,0.00658779963850975,0.009626895189285278
8,7,1.961521430766411,54.42198055350857,-43.97701604588446,29.908119159191042,0.00655133044347167,0.004965623375028372
9,8,11.740330356437576,36.37976170405154,-12.55684421509897,17.28138226013313,0.008526947349309921,0.01037625502794981
10,9,-8.256201623646053,19.695696660200063,-44.43863151623339,17.522842783862192,0.010758338496088982,0.0073621622286736965
11,10,6.939152442324446,59.33985921713213,-25.46636277011163,25.97102539916743,0.006479975767433643,0.005595280323177576
